Id LotShape LotArea OverallCond YrSold SalePrice
735 IR1 8978 5 2007 108000.0
736 Reg 10800 7 2006 163000.0
737 Reg 8544 4 2006 93500.0
738 IR1 10463 5 2006 239900.0
739 Reg 10800 5 2009 179000.0
740 IR1 9313 5 2009 190000.0
741 Reg 9600 7 2007 132000.0
742 IR1 6768 8 2008 142000.0
743 Reg 8450 5 2007 179000.0
744 IR1 12886 6 2009 175000.0
745 IR1 5395 5 2008 180000.0
746 IR1 8963 9 2008 299800.0
747 IR1 8795 5 2009 236000.0
748 IR1 11700 7 2009 265979.0
749 IR1 10593 5 2010 260400.0
750 Reg 8405 3 2009 98000.0
751 Reg 8800 7 2010 96500.0
752 Reg 7750 5 2007 162000.0
753 IR1 9236 5 2006 217000.0
754 Reg 10240 5 2006 275500.0
755 Reg 7930 8 2009 156000.0
756 Reg 3230 5 2009 172500.0
757 IR1 10769 5 2009 212000.0
758 IR1 11616 5 2010 158900.0
759 Reg 2280 5 2008 179400.0
760 IR1 12257 5 2007 290000.0
761 Reg 9100 6 2009 127500.0
762 Reg 6911 5 2009 100000.0
763 Reg 8640 5 2010 215200.0
764 Reg 9430 5 2009 337000.0
765 IR1 9549 5 2006 270000.0
766 IR1 14587 5 2008 264132.0
767 Reg 10421 5 2010 196500.0
768 IR1 12508 7 2008 160000.0
769 Reg 9100 5 2006 216837.0
770 IR2 53504 5 2010 538000.0
771 IR1 7252 5 2009 134900.0
772 Reg 8877 5 2006 102000.0
773 Reg 7819 5 2010 107000.0
774 Reg 10150 5 2007 114500.0
775 Reg 14226 5 2007 395000.0
776 Reg 4500 5 2009 162000.0
777 IR1 11210 5 2006 221500.0
778 IR1 13350 5 2006 142500.0
779 Reg 8400 5 2007 144000.0
780 Reg 10530 5 2006 135000.0
781 Reg 7875 5 2007 176000.0
782 Reg 7153 5 2006 175900.0
783 IR2 16285 5 2009 187100.0
784 IR1 9101 6 2009 165500.0
785 Reg 6300 6 2008 128000.0
786 Reg 9790 5 2009 161500.0
787 Reg 10800 6 2010 139000.0
788 IR1 10142 5 2010 233000.0
789 Reg 6000 7 2008 107900.0
790 IR1 12205 8 2007 187500.0
791 Reg 3182 5 2009 160200.0
792 IR1 11333 5 2007 146800.0
793 IR1 9920 5 2007 269790.0
794 Reg 9158 5 2007 225000.0
795 IR1 10832 5 2008 194500.0
796 Reg 8400 6 2010 171000.0
797 Reg 8197 5 2007 143500.0
798 Reg 7677 5 2008 110000.0
799 Reg 13518 5 2009 485000.0
800 Reg 7200 7 2007 175000.0
801 IR1 12798 5 2008 200000.0
802 Reg 4800 7 2007 109900.0
803 Reg 8199 5 2008 189000.0
804 Reg 13891 5 2009 582933.0
805 Reg 9000 5 2006 118000.0
806 IR1 12274 5 2008 227680.0
807 Reg 9750 5 2006 135500.0
808 Reg 21384 6 2009 223500.0
809 Reg 13400 5 2006 159950.0
810 Reg 8100 5 2009 106000.0
811 Reg 10140 6 2006 181000.0
812 Reg 4438 5 2008 144500.0
813 Reg 8712 5 2010 55993.0
814 Reg 9750 6 2007 157900.0
815 Reg 8248 7 2006 116000.0
816 IR2 12137 5 2010 224900.0
817 IR1 11425 6 2006 137000.0
818 IR1 13265 5 2008 271000.0
819 Reg 8816 7 2010 155000.0
820 IR1 6371 5 2010 224000.0
821 IR1 7226 5 2008 183000.0
822 Reg 6000 4 2009 93000.0
823 IR1 12394 5 2007 225000.0
824 Reg 9900 7 2009 139500.0
825 Reg 11216 5 2006 232600.0
826 Reg 14803 5 2008 385000.0
827 Reg 6130 6 2008 109500.0
828 IR1 8529 5 2009 189000.0
829 IR2 28698 5 2009 185000.0
830 Reg 2544 5 2006 147400.0
831 IR1 11900 5 2008 166000.0
832 Reg 3180 5 2006 151000.0
833 IR1 9548 6 2010 237000.0
834 Reg 10004 6 2009 167000.0
835 Reg 7875 6 2008 139950.0
836 Reg 9600 7 2010 128000.0
837 Reg 8100 6 2007 153500.0
838 Reg 1680 5 2008 100000.0
839 Reg 9525 6 2008 144000.0
840 Reg 11767 6 2008 130500.0
841 IR1 12155 8 2008 140000.0
842 Reg 10440 8 2008 157500.0
843 Reg 9020 7 2008 174900.0
844 Reg 8000 4 2007 141000.0
845 IR1 12665 8 2008 153900.0
846 IR1 16647 5 2007 171000.0
847 Reg 9317 5 2009 213000.0
848 IR1 15523 6 2009 133500.0
849 IR2 45600 8 2008 240000.0
850 Reg 9600 7 2007 187000.0
851 Reg 4435 5 2007 131500.0
852 Reg 3196 5 2006 215000.0
853 Reg 7128 5 2007 164000.0
854 IR1 12095 6 2009 158000.0
855 Reg 17920 4 2006 170000.0
856 IR1 6897 8 2010 127000.0
857 IR1 10970 6 2008 147000.0
858 Reg 8125 5 2009 174000.0
859 Reg 10400 5 2009 152000.0
860 IR1 11029 7 2006 250000.0
861 Reg 7642 8 2007 189950.0
862 Reg 11625 4 2010 131500.0
863 Reg 9672 5 2010 152000.0
864 Reg 7931 5 2009 132500.0
865 Reg 8640 5 2008 250580.0
866 IR1 8750 6 2009 148500.0
867 IR1 10656 5 2007 248900.0
868 Reg 6970 5 2007 129000.0
869 IR2 14762 6 2006 169000.0
870 Reg 9938 5 2010 236000.0
871 Reg 6600 5 2009 109500.0
872 Reg 8750 5 2010 200500.0
873 Reg 8892 7 2008 116000.0
874 Reg 12144 7 2009 133000.0
875 Reg 5720 6 2009 66500.0
876 Reg 9000 5 2007 303477.0
877 Reg 25286 5 2007 132250.0
878 Reg 8834 5 2009 350000.0
879 IR1 11782 7 2010 148000.0
880 IR1 7000 8 2009 136500.0
881 Reg 7024 5 2007 157000.0
882 IR1 13758 5 2007 187500.0
883 IR1 9636 5 2009 178000.0
884 Reg 6204 5 2006 118500.0
885 Reg 7150 5 2009 100000.0
886 IR1 5119 5 2008 328900.0
887 Reg 8393 5 2006 145000.0
888 IR1 16466 7 2008 135500.0
889 IR1 15865 6 2007 268000.0
890 Reg 12160 4 2009 149500.0
891 Reg 8064 7 2007 122900.0
892 Reg 11184 5 2009 172500.0
893 Reg 8414 8 2006 154500.0
894 Reg 13284 5 2008 165000.0
895 Reg 7018 5 2009 118858.0
896 Reg 7056 5 2008 140000.0
897 Reg 8765 6 2006 106500.0
898 Reg 7018 5 2009 142953.0
899 IR1 12919 5 2010 611657.0
900 Reg 6993 7 2006 135000.0
901 IR1 7340 6 2007 110000.0
902 IR1 8712 7 2009 153000.0
903 Reg 7875 5 2006 180000.0
904 IR1 14859 5 2006 240000.0
905 IR1 6173 6 2007 125500.0
906 Reg 9920 5 2010 128000.0
907 IR1 13501 5 2007 255000.0
908 IR1 11500 7 2006 250000.0
909 IR1 8885 5 2006 131000.0
910 IR2 12589 5 2009 174000.0
911 Reg 11600 5 2010 154300.0
912 IR1 9286 7 2009 143500.0
913 Reg 6120 7 2006 88000.0
914 Reg 6270 6 2007 145000.0
915 Reg 3000 5 2009 173733.0
916 Reg 2001 5 2007 75000.0
917 Reg 9000 3 2006 35311.0
918 Reg 17140 6 2009 135000.0
919 IR1 13125 5 2007 238000.0
920 IR1 11029 8 2008 176500.0
921 IR1 8462 5 2007 201000.0
922 Reg 8777 7 2008 145900.0
923 Reg 10237 5 2006 169990.0
924 Reg 8012 5 2008 193000.0
925 Reg 10240 6 2006 207500.0
926 IR1 15611 6 2008 175000.0
927 Reg 11999 5 2007 285000.0
928 Reg 9900 5 2008 176000.0
929 Reg 11838 5 2009 236500.0
930 IR1 13006 5 2006 222000.0
931 IR1 8925 5 2009 201000.0
932 Reg 9100 6 2009 117500.0
933 IR1 11670 5 2007 320000.0
934 Reg 8487 5 2009 190000.0
935 IR2 27650 7 2008 242000.0
936 IR1 5825 5 2006 79900.0
937 Reg 10083 5 2009 184900.0
938 Reg 9675 5 2009 253000.0
939 Reg 8760 5 2006 239799.0
940 Reg 24090 7 2010 244400.0
941 IR1 12640 5 2006 150900.0
942 IR1 8755 5 2009 214000.0
943 IR1 7711 3 2007 150000.0
944 Reg 25000 4 2007 143000.0
945 IR1 14375 6 2009 137500.0
946 Reg 8820 6 2009 124900.0
947 Reg 8163 6 2006 143000.0
948 Reg 14536 5 2007 270000.0
949 IR1 14006 5 2006 192500.0
950 Reg 9360 7 2010 197500.0
951 Reg 7200 8 2007 129000.0
952 Reg 7800 5 2006 119900.0
953 Reg 7200 8 2009 133900.0
954 IR1 11075 4 2008 172000.0
955 IR1 9400 5 2006 127500.0
956 IR1 7136 6 2007 145000.0
957 Reg 1300 6 2009 124000.0
958 Reg 7420 5 2007 132000.0
959 Reg 8450 5 2007 185000.0
960 Reg 2572 5 2010 155000.0
961 IR1 7207 7 2010 116500.0
962 IR1 12227 7 2008 272000.0
963 Reg 2308 6 2007 155000.0
964 IR1 11923 5 2009 239000.0
965 Reg 11316 5 2010 214900.0
966 Reg 10237 5 2007 178900.0
967 IR1 9600 7 2009 160000.0
968 IR1 7390 7 2008 135000.0
969 Reg 5925 6 2009 37900.0
970 Reg 10382 5 2006 140000.0
971 Reg 10800 4 2006 135000.0
972 Reg 2268 5 2009 173000.0
973 Reg 7892 5 2010 99500.0
974 Reg 11639 5 2008 182000.0
975 IR1 11414 8 2009 167500.0
976 Reg 2651 5 2006 165000.0
977 IR1 5900 7 2006 85500.0
978 IR1 4274 5 2007 199900.0
979 Reg 9450 5 2007 110000.0
980 Reg 8816 6 2009 139000.0
981 IR1 12122 9 2008 178400.0
982 IR1 12203 5 2009 336000.0
983 Reg 3182 5 2008 159895.0
984 Reg 11250 5 2008 255900.0
985 Reg 10125 5 2009 126000.0
986 Reg 10880 5 2008 125000.0
987 Reg 5310 8 2006 117000.0
988 IR1 10159 5 2010 395192.0
989 IR1 12046 6 2007 195000.0
990 Reg 8125 5 2006 197000.0
991 Reg 9452 5 2006 348000.0
992 Reg 17671 9 2009 168000.0
993 Reg 9760 8 2007 187000.0
994 Reg 8846 5 2006 173900.0
995 Reg 12456 5 2009 337500.0
996 IR1 4712 7 2006 121600.0
997 IR1 10659 6 2006 136500.0
998 IR1 11717 6 2009 185000.0
999 Reg 9786 4 2006 91000.0
1000 Reg 6762 5 2010 206000.0
1001 Reg 10206 3 2009 82000.0
1002 Reg 5400 6 2007 86000.0
1003 IR1 11957 5 2008 232000.0
1004 IR1 11500 6 2007 136905.0
1005 Reg 3182 5 2009 181000.0
1006 Reg 8385 8 2008 149900.0
1007 IR3 12155 3 2007 163500.0
1008 Reg 2217 4 2009 88000.0
1009 IR1 12118 5 2009 240000.0
1010 Reg 6000 5 2006 102000.0
1011 Reg 21286 5 2008 135000.0
1012 Reg 9825 5 2010 100000.0
1013 Reg 10592 7 2007 165000.0
1014 Reg 7200 4 2009 85000.0
1015 Reg 11664 5 2007 119200.0
1016 Reg 8400 6 2009 227000.0
1017 Reg 11883 5 2009 203000.0
1018 IR1 5814 5 2009 187500.0
1019 IR1 10784 5 2007 160000.0
1020 Reg 3013 5 2006 213490.0
1021 Reg 7024 5 2008 176000.0
1022 Reg 7406 5 2006 194000.0
1023 Reg 9439 5 2007 87000.0
1024 Reg 3182 5 2008 191000.0
1025 IR1 15498 6 2008 287000.0
1026 Reg 7700 5 2007 112500.0
1027 Reg 9300 5 2010 167500.0
1028 IR1 9520 5 2008 293077.0
1029 Reg 9492 5 2007 105000.0
1030 Reg 1680 7 2006 118000.0
1031 Reg 7082 8 2006 160000.0
1032 Reg 15863 3 2009 197000.0
1033 IR1 14541 7 2006 310000.0
1034 Reg 8125 5 2006 230000.0
1035 Reg 6305 7 2007 119750.0
1036 IR1 11500 3 2009 84000.0
1037 IR1 12898 5 2009 315500.0
1038 Reg 9240 5 2008 287000.0
1039 Reg 1533 6 2009 97000.0
1040 Reg 1477 4 2009 80000.0
1041 Reg 13125 4 2006 155000.0
1042 Reg 9130 8 2008 173000.0
1043 IR1 5381 5 2009 196000.0
1044 Reg 11839 5 2008 262280.0
1045 Reg 9600 5 2009 278000.0
1046 IR1 13680 5 2009 139600.0
1047 IR1 16056 5 2006 556581.0
1048 IR2 9245 5 2008 145000.0
1049 Reg 21750 4 2009 115000.0
1050 Reg 11100 7 2010 84900.0
1051 IR1 8993 5 2007 176485.0
1052 IR1 11175 5 2007 200141.0
1053 Reg 9500 6 2007 165000.0
1054 Reg 8562 6 2010 144500.0
1055 Reg 11367 5 2006 255000.0
1056 Reg 11361 5 2008 180000.0
1057 IR1 7052 5 2006 185850.0
1058 IR2 29959 6 2009 248000.0
1059 IR1 11308 5 2009 335000.0
1060 IR1 11275 7 2007 220000.0
1061 Reg 4920 5 2010 213500.0
1062 Reg 18000 4 2008 81000.0
1063 Reg 13600 5 2007 90000.0
1064 Reg 6000 6 2006 110500.0
1065 IR1 11000 6 2009 154000.0
1066 Reg 14000 5 2010 328000.0
1067 IR1 7837 7 2009 178000.0
1068 Reg 9760 6 2008 167900.0
1069 Reg 3964 4 2006 151400.0
1070 Reg 9600 7 2007 135000.0
1071 Reg 10152 5 2007 135000.0
1072 Reg 11700 6 2009 154000.0
1073 Reg 7585 3 2006 91500.0
1074 IR1 7950 6 2009 159500.0
1075 Reg 8556 5 2007 194000.0
1076 Reg 13125 6 2007 219500.0
1077 Reg 10800 8 2006 170000.0
1078 IR1 15870 5 2006 138800.0
1079 Reg 4435 5 2006 155900.0
1080 Reg 8775 5 2007 126000.0
1081 Reg 11040 7 2008 145000.0
1082 Reg 7500 5 2010 133000.0
1083 Reg 8749 5 2007 192000.0
1084 Reg 8800 6 2006 160000.0
1085 IR2 13031 5 2006 187500.0
1086 Reg 9069 6 2010 147000.0
1087 Reg 1974 5 2010 83500.0
1088 Reg 10574 5 2009 252000.0
1089 Reg 2522 5 2006 137500.0
1090 IR1 3316 5 2006 197000.0
1091 Reg 8544 4 2009 92900.0
1092 Reg 2160 5 2008 160000.0
1093 Reg 8400 5 2008 136500.0
1094 Reg 9230 8 2006 146000.0
1095 Reg 5868 7 2010 129000.0
1096 IR1 9317 5 2007 176432.0
1097 Reg 6882 7 2007 127000.0
1098 Reg 3696 5 2007 170000.0
1099 Reg 6000 6 2009 128000.0
1100 IR1 11880 5 2009 157000.0
1101 Reg 8400 5 2009 60000.0
1102 IR1 9758 5 2007 119500.0
1103 Reg 7000 7 2007 135000.0
1104 Reg 8910 6 2006 159500.0
1105 Reg 2016 5 2007 106000.0
1106 IR1 12256 5 2010 325000.0
1107 IR1 10357 5 2007 179900.0
1108 IR3 23257 5 2006 274725.0
1109 Reg 8063 5 2007 181000.0
1110 IR1 11362 5 2009 280000.0
1111 Reg 8000 5 2008 188000.0
1112 Reg 10480 6 2008 205000.0
1113 IR1 7100 7 2006 129900.0
1114 Reg 8923 7 2007 134500.0
1115 Reg 5400 7 2006 117000.0
1116 Reg 12085 5 2007 318000.0
1117 Reg 7750 5 2009 184100.0
1118 IR1 9764 7 2008 130000.0
1119 Reg 13825 6 2008 140000.0
1120 Reg 7560 5 2006 133700.0
1121 Reg 8263 5 2007 118400.0
1122 Reg 10084 5 2006 212900.0
1123 IR1 8926 3 2009 112000.0
1124 Reg 9405 9 2009 118000.0
1125 IR1 9125 5 2007 163900.0
1126 Reg 10434 5 2009 115000.0
1127 Reg 3684 5 2009 174000.0
1128 IR3 14572 5 2007 259000.0
1129 IR1 11796 5 2007 215000.0
1130 Reg 7200 5 2007 140000.0
1131 Reg 7804 3 2009 135000.0
1132 Reg 10712 5 2007 93500.0
1133 Reg 9900 4 2007 117500.0
1134 IR1 9828 5 2009 239500.0
1135 IR1 8773 5 2007 169000.0
1136 Reg 6180 5 2007 102000.0
1137 Reg 9600 5 2008 119000.0
1138 Reg 6342 8 2010 94000.0
1139 IR1 9819 5 2009 196000.0
1140 IR1 8731 5 2007 144000.0
1141 Reg 7350 7 2008 139000.0
1142 IR1 10304 7 2009 197500.0
1143 Reg 9965 5 2007 424870.0
1144 Reg 9000 3 2008 80000.0
1145 Reg 12180 4 2010 80000.0
1146 Reg 6240 6 2006 149000.0
1147 Reg 11200 5 2006 180000.0
1148 Reg 12000 7 2009 174500.0
1149 Reg 5700 7 2008 116900.0
1150 Reg 9000 9 2009 143000.0
1151 IR1 8280 5 2007 124000.0
1152 Reg 17755 4 2006 149900.0
1153 IR1 14115 7 2006 230000.0
1154 Reg 5890 8 2008 120500.0
1155 IR1 13700 6 2008 201800.0
1156 IR1 10768 8 2007 218000.0
1157 Reg 9350 8 2008 179900.0
1158 IR1 5001 5 2009 230000.0
1159 Reg 11932 5 2008 235128.0
1160 Reg 9120 6 2008 185000.0
1161 Reg 2280 5 2010 146000.0
1162 IR1 14778 7 2008 224000.0
1163 Reg 8724 5 2007 129000.0
1164 Reg 12900 4 2008 108959.0
1165 IR1 16157 7 2007 194000.0
1166 IR1 9541 5 2009 233170.0
1167 IR1 10475 5 2010 245350.0
1168 IR1 10852 5 2006 173000.0
1169 Reg 13728 7 2008 235000.0
1170 IR1 35760 5 2006 625000.0
1171 Reg 9880 6 2008 171000.0
1172 Reg 9120 6 2008 163000.0
1173 IR1 4017 5 2008 171900.0
1174 IR1 18030 6 2007 200500.0
1175 IR1 16560 8 2006 239000.0
1176 Reg 10678 5 2007 285000.0
1177 IR1 6951 5 2008 119500.0
1178 Reg 3950 8 2009 115000.0
1179 IR1 7681 6 2009 154900.0
1180 Reg 8335 5 2006 93000.0
1181 IR2 11170 5 2006 250000.0
1182 IR1 5587 5 2008 392500.0
1183 IR1 15623 5 2007 745000.0
1184 Reg 10800 6 2006 120000.0
1185 Reg 35133 4 2007 186700.0
1186 Reg 9738 7 2006 104900.0
1187 IR1 10615 5 2009 95000.0
1188 Reg 12461 5 2006 262000.0
1189 IR1 8935 5 2009 195000.0
1190 Reg 7500 5 2010 189000.0
1191 Reg 32463 4 2007 168000.0
1192 Reg 2645 5 2007 174000.0
1193 Reg 9600 8 2007 125000.0
1194 Reg 4500 5 2009 165000.0
1195 Reg 9364 7 2010 158000.0
1196 IR1 8029 5 2008 176000.0
1197 IR1 14054 5 2006 219210.0
1198 IR1 8850 6 2006 144000.0
1199 Reg 9100 5 2009 178000.0
1200 Reg 11235 5 2006 148000.0
1201 Reg 9353 5 2006 116050.0
1202 Reg 10400 5 2009 197900.0
1203 Reg 6000 8 2009 117000.0
1204 Reg 9750 5 2009 213000.0
1205 Reg 10140 6 2006 153500.0
1206 IR1 14684 7 2009 271900.0
1207 Reg 8900 4 2006 107000.0
1208 Reg 9135 5 2006 200000.0
1209 Reg 7763 7 2008 140000.0
1210 IR1 10182 5 2006 290000.0
1211 Reg 11218 5 2010 189000.0
1212 IR1 12134 7 2010 164000.0
1213 Reg 9340 6 2009 113000.0
1214 IR1 10246 9 2006 145000.0
1215 IR1 10205 5 2006 134500.0
1216 IR1 7094 5 2007 125000.0
1217 Reg 8930 5 2010 112000.0
1218 Reg 8640 5 2009 229456.0
1219 Reg 6240 5 2006 80500.0
1220 Reg 1680 5 2006 91500.0
1221 IR1 7800 5 2006 115000.0
1222 Reg 8250 5 2008 134000.0
1223 Reg 10496 6 2007 143000.0
1224 Reg 10680 3 2006 137900.0
1225 IR1 15384 5 2008 184000.0
1226 Reg 10482 8 2007 145000.0
1227 IR1 14598 5 2008 214000.0
1228 Reg 8872 8 2008 147000.0
1229 Reg 8769 5 2008 367294.0
1230 Reg 7910 5 2008 127000.0
1231 IR1 18890 5 2007 190000.0
1232 Reg 7728 6 2006 132500.0
1233 Reg 9842 5 2007 101800.0
1234 IR1 12160 5 2010 142000.0
1235 Reg 8525 6 2008 130000.0
1236 Reg 13132 5 2006 138887.0
1237 Reg 2628 5 2010 175500.0
1238 IR2 12393 5 2006 195000.0
1239 Reg 13072 5 2006 142500.0
1240 IR1 9037 5 2007 265900.0
1241 Reg 8158 5 2008 224900.0
1242 Reg 9849 6 2007 248328.0
1243 Reg 10625 6 2010 170000.0
1244 Reg 13891 5 2006 465000.0
1245 IR1 11435 7 2006 230000.0
1246 Reg 12090 7 2007 178000.0
1247 Reg 8125 5 2006 186500.0
1248 IR1 12328 5 2010 169900.0
1249 Reg 9600 5 2008 129500.0
1250 Reg 7200 7 2007 119000.0
1251 Reg 11160 5 2010 244000.0
1252 IR1 3136 5 2006 171750.0
1253 Reg 9858 6 2009 130000.0
1254 IR1 17542 7 2007 294000.0
1255 Reg 6931 5 2008 165400.0
1256 Reg 6240 6 2007 127500.0
1257 IR1 14303 5 2008 301500.0
1258 Reg 4060 8 2009 99900.0
1259 IR1 9587 5 2008 190000.0
1260 Reg 9750 8 2008 151000.0
1261 IR3 24682 5 2009 181000.0
1262 Reg 9600 6 2009 128900.0
1263 Reg 11250 5 2009 161500.0
1264 Reg 13515 6 2007 180500.0
1265 Reg 4060 5 2008 181000.0
1266 Reg 3735 5 2006 183900.0
1267 IR1 10120 4 2007 122000.0
1268 IR1 13214 5 2010 378500.0
1269 IR1 14100 9 2008 381000.0
1270 Reg 11344 5 2007 144000.0
1271 Reg 23595 6 2010 260000.0
1272 IR1 9156 7 2009 185750.0
1273 IR1 13526 6 2006 137000.0
1274 IR1 11512 7 2008 177000.0
1275 Reg 5362 6 2007 139000.0
1276 Reg 11345 5 2007 137000.0
1277 IR1 12936 6 2009 162000.0
1278 IR1 17871 5 2009 197900.0
1279 Reg 9473 5 2008 237000.0
1280 Reg 7500 4 2010 68400.0
1281 IR1 9808 5 2009 227000.0
1282 IR1 8049 5 2006 180000.0
1283 IR1 8800 7 2009 150500.0
1284 Reg 9400 5 2010 139000.0
1285 Reg 9638 7 2010 169000.0
1286 Reg 6000 6 2009 132500.0
1287 Reg 9790 5 2010 143000.0
1288 IR1 36500 5 2006 190000.0
1289 IR1 5664 5 2009 278000.0
1290 IR1 11065 5 2006 281000.0
1291 IR1 14112 7 2010 180500.0
1292 Reg 1680 7 2009 119500.0
1293 Reg 6600 4 2009 107500.0
1294 Reg 10140 5 2006 162900.0
1295 Reg 8172 7 2006 115000.0
1296 Reg 8400 5 2006 138500.0
1297 Reg 8700 6 2008 155000.0
1298 Reg 3675 5 2006 140000.0
1299 IR3 63887 5 2008 160000.0
1300 Reg 7500 7 2010 154000.0
1301 IR1 10762 5 2009 225000.0
1302 IR1 7500 7 2009 177500.0
1303 Reg 10120 5 2006 290000.0
1304 Reg 8688 5 2006 232000.0
1305 Reg 3363 5 2006 130000.0
1306 IR1 13173 5 2009 325000.0
1307 IR1 6955 5 2006 202500.0
1308 Reg 8072 5 2009 138000.0
1309 Reg 12000 7 2008 147000.0
1310 Reg 7153 5 2008 179200.0
1311 Reg 17500 8 2010 335000.0
1312 Reg 8814 5 2007 203000.0
1313 IR1 9572 5 2007 302000.0
1314 IR1 14774 5 2010 333168.0
1315 Reg 8190 6 2007 119000.0
1316 Reg 11075 5 2008 206900.0
1317 IR1 10226 5 2009 295493.0
1318 Reg 4230 5 2007 208900.0
1319 IR2 14781 5 2006 275000.0
1320 Reg 10215 5 2007 111000.0
1321 Reg 8400 3 2009 156500.0
1322 IR1 6627 6 2008 72500.0
1323 IR1 10186 5 2010 190000.0
1324 Reg 5330 7 2009 82500.0
1325 Reg 9986 5 2007 147000.0
1326 Reg 3636 4 2008 55000.0
1327 Reg 4270 6 2007 79000.0
1328 Reg 6600 9 2008 130500.0
1329 Reg 10440 7 2008 256000.0
1330 IR1 9084 5 2006 176500.0
1331 Reg 10000 5 2007 227000.0
1332 IR1 10780 5 2006 132500.0
1333 Reg 8877 6 2009 100000.0
1334 Reg 7200 6 2006 125500.0
1335 Reg 2368 6 2009 125000.0
1336 Reg 9650 5 2009 167900.0
1337 IR1 9246 5 2008 135000.0
1338 IR1 4118 4 2006 52500.0
1339 IR1 13450 5 2006 200000.0
1340 IR1 9560 7 2006 128500.0
1341 Reg 8294 5 2007 123000.0
1342 Reg 13695 5 2008 155000.0
1343 Reg 9375 5 2007 228500.0
1344 Reg 7558 6 2009 177000.0
1345 IR1 11103 5 2007 155835.0
1346 Reg 6000 4 2007 108500.0
1347 IR2 20781 7 2006 262500.0
1348 IR1 15306 5 2007 283463.0
1349 IR3 16196 5 2007 215000.0
1350 Reg 5250 5 2008 122000.0
1351 Reg 11643 5 2009 200000.0
1352 IR1 9247 6 2008 171000.0
1353 Reg 6000 9 2009 134900.0
1354 IR1 14720 5 2010 410000.0
1355 IR1 10316 5 2008 235000.0
1356 IR1 10192 6 2006 170000.0
1357 Reg 9477 5 2008 110000.0
1358 IR1 12537 6 2010 149900.0
1359 Reg 2117 5 2010 177500.0
1360 Reg 16737 5 2006 315000.0
1361 Reg 9842 6 2008 189000.0
1362 IR1 16158 5 2009 260000.0
1363 IR1 12513 4 2009 104900.0
1364 IR1 8499 5 2007 156932.0
1365 Reg 3180 5 2006 144152.0
1366 Reg 7500 5 2010 216000.0
1367 IR1 9179 5 2008 193000.0
1368 Reg 2665 6 2006 127000.0
1369 Reg 4435 5 2009 144000.0
1370 IR2 10635 5 2010 232000.0
1371 Reg 5400 6 2009 105000.0
1372 Reg 9600 6 2008 165500.0
1373 Reg 9750 6 2006 274300.0
1374 Reg 11400 5 2007 466500.0
1375 Reg 10625 5 2008 250000.0
1376 IR1 10991 5 2007 239000.0
1377 Reg 6292 5 2008 91000.0
1378 Reg 10998 5 2009 117000.0
1379 Reg 1953 5 2006 83000.0
1380 Reg 9735 5 2008 167500.0
1381 Reg 8212 3 2010 58500.0
1382 IR1 12925 7 2008 237500.0
1383 Reg 7200 7 2006 157000.0
1384 Reg 25339 7 2007 112000.0
1385 Reg 9060 5 2009 105000.0
1386 Reg 5436 8 2010 125500.0
1387 IR1 16692 5 2006 250000.0
1388 Reg 8520 7 2007 136000.0
1389 IR1 14892 5 2009 377500.0
1390 Reg 6000 6 2007 131000.0
1391 Reg 9100 5 2006 235000.0
1392 Reg 8944 5 2009 124000.0
1393 Reg 7838 5 2006 123000.0
1394 Reg 10800 7 2008 163000.0
1395 Reg 4045 5 2006 246578.0
1396 IR1 12665 5 2007 281213.0
1397 IR1 57200 5 2010 160000.0
1398 Reg 6120 8 2007 137500.0
1399 Reg 7200 4 2009 138000.0
1400 Reg 6171 6 2009 137450.0
1401 Reg 6000 7 2008 120000.0
1402 IR1 7415 5 2008 193000.0
1403 Reg 6762 5 2006 193879.0
1404 IR1 15256 5 2007 282922.0
1405 Reg 10410 4 2006 105000.0
1406 IR1 3842 5 2008 275000.0
1407 Reg 8445 7 2009 133000.0
1408 IR1 8780 5 2009 112000.0
1409 Reg 7740 7 2010 125500.0
1410 IR1 20544 6 2008 215000.0
1411 Reg 12420 5 2009 230000.0
1412 Reg 9600 8 2009 140000.0
1413 Reg 7200 5 2009 90000.0
1414 IR1 10994 5 2009 257000.0
1415 Reg 13053 7 2008 207000.0
1416 Reg 3635 5 2009 175900.0
1417 Reg 11340 6 2010 122500.0
1418 IR1 16545 5 2009 340000.0
1419 Reg 9204 5 2008 124000.0
1420 IR1 16381 5 2006 223000.0
1421 Reg 11700 6 2006 179900.0
1422 Reg 4043 5 2010 127500.0
1423 Reg 4435 5 2008 136500.0
1424 IR1 19690 7 2006 274970.0
1425 Reg 9503 5 2007 144000.0
1426 IR1 10721 6 2008 142000.0
1427 IR1 10944 5 2008 271000.0
1428 Reg 10930 6 2008 140000.0
1429 Reg 7200 7 2010 119000.0
1430 IR1 12546 7 2007 182900.0
1431 IR3 21930 5 2006 192140.0
1432 IR1 4928 6 2009 143750.0
1433 Reg 10800 6 2007 64500.0
1434 IR1 10261 5 2008 186500.0
1435 Reg 17400 5 2006 160000.0
1436 Reg 8400 9 2008 174000.0
1437 Reg 9000 6 2007 120500.0
1438 Reg 12444 5 2008 394617.0
1439 Reg 7407 7 2010 149700.0
1440 Reg 11584 6 2007 197000.0
1441 IR1 11526 7 2008 191000.0
1442 Reg 4426 5 2008 149300.0
1443 Reg 11003 5 2009 310000.0
1444 Reg 8854 6 2009 121000.0
1445 Reg 8500 5 2007 179600.0
1446 Reg 8400 5 2007 129000.0
